Link,,Map,Mod,Suggested pp value,Best pp value,Difference
https://osu.ppy.sh/beatmapsets/1933753#fruits/3995789,,Marc-Andre Hamelin - Circus Galop (Cut Ver.) (fayew) [Fortississimo],HR,1525,,-1525
https://osu.ppy.sh/beatmapsets/1943533#fruits/4020375,,Camellia - NIGHTMARE CITY (Rocma) [RUSTYY & ROCMA'S PARANOIA],NM,1516,,-1516
https://osu.ppy.sh/beatmapsets/2107464#fruits/4422807,,Camellia - The King Of Lions (Zyzyx) [IMMORTAL BEAST],HR,1515,,-1515
https://osu.ppy.sh/beatmapsets/1212452#fruits/2523668,,"Camellia - FLYING OUT TO THE SKY (covered by Nanahira, moimoi, Nana Takahashi) (Sotarks) [ENDGAME]",HR,1515,,-1515
https://osu.ppy.sh/beatmapsets/2271235#fruits/4837780,,Ludicin - Echoes of Memoria (Mochi -) [Heroes of Harmonia // Transcendental Collab],NM,1510,,-1510
https://osu.ppy.sh/beatmapsets/1698560#fruits/3470717,,ptar124 - AmbidextrouS ~The Alchemist of The Left x The Sage of The Right~ (Deif) [Double-edgeD],HR,1510,,-1510
https://osu.ppy.sh/beatmapsets/757470#fruits/1593485,,Nekomata Master feat.Joelle Strother - Infinity of Our Love (Sinnoh) [Serenity],HR,1500,,-1500
https://osu.ppy.sh/beatmapsets/1727694#osu/3530608,,Toromaru - Formless Canvas (DeviousPanda) [Virtuoso],HR,1500,,-1500
https://osu.ppy.sh/beatmapsets/1727694#osu/3530608,,Toromaru - Formless Canvas (DeviousPanda) [Virtuoso],HR,1500,,-1500
https://osu.ppy.sh/beatmapsets/1715139#fruits/3504486,,Silentroom - XHRONOXAPSULE (Jemzuu) [ROCMA'S XRONIXLE],NM,1477,,-1477
https://osu.ppy.sh/beatmapsets/2011570#fruits/4185911,,Halv vs. kuro - Evreka (Ascendance) [Chronosync],NM,1470,,-1470
https://osu.ppy.sh/beatmapsets/2007971#fruits/4176819,,Camellia - GHOUL (Du5t) [Resurgence],HR,1470,,-1470
https://osu.ppy.sh/beatmapsets/1896680#fruits/3908877,,DM DOKURO - The Devourer of Gods (Nonstop Mix) (Bunnrei) [Universal Scourge],HR,1465,,-1465
https://osu.ppy.sh/beatmapsets/2411121#fruits/5236351,,Deathsquad - Purgatory Power (Jack Frost) [WELCOME TO HELL],NM,1465,,-1465
https://osu.ppy.sh/beatmapsets/2278996#fruits/4857648,,Kaneko Chiharu - <<Re:miniscence>> (Daletto) [ROCMA'S EXCEED],NM,1463,,-1463
https://osu.ppy.sh/beatmapsets/2147976#fruits/4524617,,Camellia - Fastest Crash (Secre) [Terminus],NM,1462,,-1462
https://osu.ppy.sh/beatmapsets/285577#fruits/647716,,Yooh - MariannE (neonat) [CtB Collab],DT,1460,,-1460
https://osu.ppy.sh/beatmapsets/1151836#fruits/2453357,,Camellia feat. Nanahira - finorza (Rocma) [fin],HR,1460,,-1460
https://osu.ppy.sh/beatmapsets/2137143#fruits/4497494,,t+pazolite - chipscape (fayew) [Finale],NM,1445,,-1445
https://osu.ppy.sh/beatmapsets/2137143#fruits/4497494,,t+pazolite - chipscape (fayew) [Finale],NM,1445,,-1445
https://osu.ppy.sh/beatmapsets/1719293#fruits/3513526,,ReeK - Galaxy Collision (Jemzuu) [Jemzuu vs. Unlucky's Dyscontrolled Galaxy],HR,1435,,-1435
https://osu.ppy.sh/beatmapsets/1754419#fruits/3590299,,Yooh - RPG (Sololiquy) [Reality],HR,1435,,-1435
https://osu.ppy.sh/beatmapsets/429184#fruits/926084,,DJ Totoriott - Chronoxia (Kyuare) [Chronos],DT,1430,,-1430
https://osu.ppy.sh/beatmapsets/2333588#fruits/5151256,,UROBOROS - Black Swallowtail (DizzyOracel) [MILK's Deluge],DT,1430,,-1430
https://osu.ppy.sh/beatmapsets/2241735#fruits/4764524,,Camellia - Flamewall (Daletto) [Daletto & Rustyy's Flowers Resplendent on the Sun-Scorched Sojourn],HR,1425,,-1425
